id,repo,body,url,issue_url,issue_title,created_at,user
2316229640,whatwg/html,@nickcoury an aggressive timeout could be considered for parsing/script where authors explicitly opt,https://github.com/whatwg/html/issues/10513#issuecomment-2316229640,https://github.com/whatwg/html/issues/10513,Consider adding `view-transition` as a token for `blocking`,2024-08-28T20:50:55Z,khushalsagar
2316221125,whatwg/html,"> > Consensus was to wait for WebKit's feedback by next week, given this is the first time we're con",https://github.com/whatwg/html/issues/10560#issuecomment-2316221125,https://github.com/whatwg/html/issues/10560,Upcoming WHATNOT meeting on 2024-08-22,2024-08-28T20:45:13Z,past
2316154593,whatwg/html,Thanks scott!! I created a spec PR here: https://github.com/whatwg/html/pull/10586,https://github.com/whatwg/html/issues/10317#issuecomment-2316154593,https://github.com/whatwg/html/issues/10317,Content model and 'what' to render for stylable `<select>` elements,2024-08-28T20:04:27Z,josepharhar
2316081391,whatwg/html,"just talked with @josepharhar about this, and per the feedback in this thread we are instead thinkin",https://github.com/whatwg/html/issues/10317#issuecomment-2316081391,https://github.com/whatwg/html/issues/10317,Content model and 'what' to render for stylable `<select>` elements,2024-08-28T19:16:48Z,scottaohara
2316033773,whatwg/html,could you elaborate more on the intended use case?,https://github.com/whatwg/html/issues/10584#issuecomment-2316033773,https://github.com/whatwg/html/issues/10584,A way to get mouse coordinates without mouse moving,2024-08-28T18:47:18Z,nektro
2315968480,whatwg/html,"@smaug---- do you have any additional feedback? I'd like to get started on this, and I'd still prefe",https://github.com/whatwg/html/issues/10520#issuecomment-2315968480,https://github.com/whatwg/html/issues/10520,Timing of cloning for the `<selectedoption>` element,2024-08-28T18:07:06Z,josepharhar
2315921541,w3ctag/design-reviews,"Thank you for the look!  > When reviewing the explainer, it wasn't immediately obvious why this de",https://github.com/w3ctag/design-reviews/issues/986#issuecomment-2315921541,https://github.com/w3ctag/design-reviews/issues/986,Early Design Review: Lightweight FedCM,2024-08-28T17:39:40Z,bvandersloot-mozilla
2315894004,whatwg/html,"> It seems cumbersome if you would otherwise not have to do that  > that pure text version should ",https://github.com/whatwg/html/issues/10317#issuecomment-2315894004,https://github.com/whatwg/html/issues/10317,Content model and 'what' to render for stylable `<select>` elements,2024-08-28T17:23:17Z,josepharhar
2315865512,w3ctag/design-reviews,"Are you planning to, or have you talked to WebAppSec and TC39 about this feature?",https://github.com/w3ctag/design-reviews/issues/985#issuecomment-2315865512,https://github.com/w3ctag/design-reviews/issues/985,Realms Initialization Control,2024-08-28T17:07:18Z,jyasskin
2315850595,w3ctag/design-reviews,"Just a few supportive clarifications here, @johannhof and @bvandersloot-mozilla feel free to correct",https://github.com/w3ctag/design-reviews/issues/986#issuecomment-2315850595,https://github.com/w3ctag/design-reviews/issues/986,Early Design Review: Lightweight FedCM,2024-08-28T16:59:15Z,samuelgoto
2315808995,whatwg/html,"Hi @Delapouite!   My long-term view is that HTML should support custom methods. This would unlock ",https://github.com/whatwg/html/issues/3577#issuecomment-2315808995,https://github.com/whatwg/html/issues/3577,"HTML forms do not support the PUT, PATCH and DELETE methods",2024-08-28T16:35:34Z,alexpetros
2315794396,w3ctag/design-reviews,"When reviewing the explainer, it wasn't immediately obvious why this deserves a new web feature when",https://github.com/w3ctag/design-reviews/issues/986#issuecomment-2315794396,https://github.com/w3ctag/design-reviews/issues/986,Early Design Review: Lightweight FedCM,2024-08-28T16:27:50Z,jyasskin
2315720003,whatwg/webidl,"No, DOM may redirect to DOM5 (the WHATWG) one, but DOM-1 should show the latest DOM-1 draft or recom",https://github.com/whatwg/webidl/issues/1016#issuecomment-2315720003,https://github.com/whatwg/webidl/issues/1016,Move to WHATWG,2024-08-28T15:49:27Z,ben221199
2315711327,whatwg/webidl,"Thanks, updated! I left the original note I added as informative, but can remove it if preferred.",https://github.com/whatwg/webidl/pull/1421#issuecomment-2315711327,https://github.com/whatwg/webidl/pull/1421,add [[ErrorData]] slot to DOMExceptions,2024-08-28T15:45:12Z,ljharb
2315709396,whatwg/webidl,Perhaps that should redirect as well. The dated copies should not redirect however.  cc @sideshowb,https://github.com/whatwg/webidl/issues/1016#issuecomment-2315709396,https://github.com/whatwg/webidl/issues/1016,Move to WHATWG,2024-08-28T15:44:13Z,annevk
2315703007,whatwg/webidl,I see. I agree that it should be made clear that WebIDL Level 1 is superseded and that the spec at W,https://github.com/whatwg/webidl/issues/1016#issuecomment-2315703007,https://github.com/whatwg/webidl/issues/1016,Move to WHATWG,2024-08-28T15:41:06Z,ben221199
2315619227,whatwg/webidl,"Hmm, no, the WHATWG standard supersedes all prior publications and levels. So this is accurate. This",https://github.com/whatwg/webidl/issues/1016#issuecomment-2315619227,https://github.com/whatwg/webidl/issues/1016,Move to WHATWG,2024-08-28T15:03:45Z,annevk
